req,cfg,runs,success_rate,runtime_sec_mean,runtime_sec_std,ga_sec_mean,ga_sec_std,gen_mean,gen_std,eval_mean,eval_std,ga_sat_mean,ga_sat_std,ga_unsat_mean,ga_unsat_std,ga_unknown_mean,ga_unknown_std,instances_mean,instances_std,features_mean,features_std,class_balance_mean,class_balance_std,true_count_mean,true_count_std,false_count_mean,false_count_std,depth_mean,depth_std,weka_tree_size_mean,weka_tree_size_std,weka_num_leaves_mean,weka_num_leaves_std,weka_acc_mean,weka_acc_std,weka_kappa_mean,weka_kappa_std,runtime_sec_median,ga_sec_median,gen_median,eval_median,ga_sat_median,ga_unsat_median,ga_unknown_median,instances_median,features_median,class_balance_median,true_count_median,false_count_median,depth_median,weka_tree_size_median,weka_num_leaves_median,weka_acc_median,weka_kappa_median,root_feature_mode,root_feature_stability,root_threshold_mean_for_mode,root_threshold_std_for_mode,root_threshold_median_for_mode,root_threshold_iqr_for_mode
phi2,B,5,1.0,487.67658734321594,90.83571966432878,486.6590022563934,90.84440361453618,9.6,0.8944271909999159,2650.0,223.60679774997897,1852.6,200.61729735992358,331.2,21.890637268019404,2410.4,206.0055824486317,993.6,65.67191180405821,17.0,0.0,0.43143953625922055,0.007953206398775085,564.6,31.22178726466504,429.0,35.234925854895735,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,494.8100142478943,493.80546045303345,10.0,2750.0,1937.0,327.0,2503.0,981.0,17.0,0.4311377245508982,566.0,415.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9976331999999999,0.0013403252217278915,1.998044,0.00204699999999991
phi2,G,5,1.0,437.53576745986936,210.20927265027157,436.41822896003725,210.15179099303083,8.6,3.1304951684997055,2400.0,782.6237921249264,1243.6,490.95295090262977,716.2,226.11214031979796,2185.6,708.6284640063508,2148.6,678.3364209593939,17.0,0.0,0.48300511254017475,0.002222275112347079,1103.0,366.38436101995404,1045.6,311.9732360315545,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,518.8492147922516,517.6864314079285,10.0,2750.0,1430.0,783.0,2503.0,2349.0,17.0,0.48380726698262244,1209.0,1140.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9978007999999998,0.0014256229164824575,1.998132,0.0018899999999999473
phi2,G2,5,1.0,486.53025698661804,8.708521177919796,485.41216192245486,8.69666269488721,10.0,0.0,2750.0,0.0,1588.4,20.80384579831335,689.2,13.754999091239519,2501.0,10.535653752852738,2067.6,41.264997273718556,17.0,0.0,0.43604490590616124,0.0026684531475726185,1166.0,21.79449471770337,901.6,20.67123605399542,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,484.9014616012573,483.80299067497253,10.0,2750.0,1593.0,692.0,2502.0,2076.0,17.0,0.4359344894026975,1171.0,905.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9989256000000002,0.0007468187865874834,1.998847,0.0012460000000000804
phi2,G3,5,1.0,493.9805785655975,21.92150979660192,492.8648403644562,21.915130627849006,10.0,0.0,2750.0,0.0,1588.4,20.80384579831335,689.2,13.754999091239519,2501.0,10.535653752852738,2067.6,41.264997273718556,17.0,0.0,0.43604490590616124,0.0026684531475726185,1166.0,21.79449471770337,901.6,20.67123605399542,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,484.963308095932,483.860915184021,10.0,2750.0,1593.0,692.0,2502.0,2076.0,17.0,0.4359344894026975,1171.0,905.0,1.0,5.0,3.0,100.0,1.0,NUM3,1.0,1.9989256000000002,0.0007468187865874834,1.998847,0.0012460000000000804
phi2,O,5,1.0,447.1019753932953,203.2184070668963,445.98993797302245,203.1612429185925,8.8,2.6832815729997477,2450.0,670.820393249937,816.0,248.8714527622644,1188.6,358.6869108289289,2230.2,608.3475158164123,2448.0,746.6143582867932,17.0,0.0,0.46860079568511265,0.004447701621832833,1144.6,343.73870890547084,1303.4,402.9128938120496,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,1.0,0.0,514.5448093414307,513.4306883811951,10.0,2750.0,921.0,1348.0,2503.0,2763.0,17.0,0.46794871794871795,1293.0,1472.0,1.0,3.0,2.0,100.0,1.0,NUM2,1.0,-3.5013528000000003,0.0010758901895638923,-3.500986,0.0016449999999998965
phi3,B,5,1.0,903.3476910591125,387.0647424576972,901.7155973911285,386.93754900068757,9.0,2.23606797749979,2500.0,559.0169943749474,718.4,199.11755321919765,1113.4,274.6694376882874,2039.4,466.0260722320158,2155.2,597.3526596575929,40.0,0.0,0.4590785966282612,0.0076608643346160014,989.6,277.35500716590644,1165.6,321.2028953792291,5.4,0.5477225575051661,33.4,7.05691150575094,18.8,3.7013511046643495,99.93512000000001,0.052382554347798364,0.9986799999999999,0.0010545141061171009,1074.7503991127014,1073.1181955337524,10.0,2750.0,789.0,1221.0,2246.0,2367.0,40.0,0.4579636670891424,1084.0,1283.0,5.0,34.0,19.0,99.9554,0.9991,NUM1,1.0,5193392.1889936,72491.73092046595,5162813.972705,18500.136028000154
phi3,G,5,1.0,825.0512048244476,383.13162765098605,823.4446332454681,382.98331161928644,8.8,2.6832815729997477,2450.0,670.820393249937,962.4,356.6935659638396,834.8,208.13385116313972,2003.8,557.4878474011788,2421.0,807.9836013187396,40.0,0.0,0.479248567420438,0.024294269285778845,1174.4,416.01959088485245,1246.6,393.44542188212074,3.0,0.7071067811865476,15.8,2.16794833886788,9.6,1.3416407864998738,99.98602,0.01917034167666399,0.9997199999999999,0.00038340579025363485,961.0171945095062,959.4313144683838,10.0,2750.0,1138.0,908.0,2248.0,2724.0,40.0,0.4842143906020558,1319.0,1381.0,3.0,15.0,9.0,100.0,1.0,NUM1,1.0,4971366.3149768,241057.77418807376,5099525.201562,421146.29026099946
phi3,G2,5,1.0,1202.9440385341645,114.56951025665673,1201.3453554153443,114.56504098364182,10.0,0.0,2750.0,0.0,1426.4,33.4858178935501,845.8,33.67046183229449,2498.6,12.700393694685216,2537.4,101.01138549688346,40.0,0.0,0.4811458436461297,0.005048254340784996,1316.4,49.540892200282386,1221.0,54.4288526426931,3.0,0.0,10.0,0.0,6.0,0.0,99.98458000000001,0.034480168213047425,0.9997,0.0006708203932499127,1157.3970124721527,1155.788433790207,10.0,2750.0,1423.0,863.0,2497.0,2589.0,40.0,0.4798994974874372,1330.0,1229.0,3.0,10.0,6.0,100.0,1.0,NUM1,1.0,4698528.894085599,3394.7695741159264,4698374.08116,1919.183131000027
phi3,G3,5,1.0,1151.1242996692658,62.353588859631984,1149.5664757728578,62.353526117591116,10.0,0.0,2750.0,0.0,1514.8,31.830802691732423,772.2,35.21647341799005,2512.0,16.38596960817394,2316.6,105.64942025397015,40.0,0.0,0.4401660942211619,0.004168778332167261,1296.8,56.60123673560499,1019.8,50.64286721740782,3.0,0.0,10.0,0.0,6.0,0.0,99.98208,0.040070338156798176,0.99964,0.0008049844718999349,1149.9840943813324,1148.4255797863007,10.0,2750.0,1525.0,753.0,2511.0,2259.0,40.0,0.4395750332005312,1266.0,1000.0,3.0,10.0,6.0,100.0,1.0,NUM1,1.0,4698133.0122291995,5811.414480809816,4700728.669803,9085.045869999565
phi3,O1,5,1.0,850.927630853653,42.329946769826975,849.3791596412659,42.338052387896255,10.0,0.0,2750.0,0.0,1030.8,20.0922870773837,859.4,40.90598978144888,2082.8,32.980297148449104,2578.2,122.71796934434664,40.0,0.0,0.4883219970119039,0.008571327833286688,1259.0,63.45470825714984,1319.2,66.60105104275758,3.2,1.0954451150103321,10.4,2.1908902300206643,6.2,1.0954451150103321,99.97686,0.021153439436650302,0.99954,0.0004219004621945938,865.2475259304047,863.7149901390076,10.0,2750.0,1027.0,873.0,2092.0,2619.0,40.0,0.4880952380952381,1293.0,1324.0,4.0,12.0,7.0,99.9628,0.9993,NUM1,1.0,5196010.185173599,2819.877830543725,5196991.05201,2691.277839000337
phi3,O2,5,1.0,638.6380803585052,55.97508488630929,637.299276304245,55.97203206493026,10.0,0.0,2750.0,0.0,244.2,14.703741020570241,1299.6,30.69690538148756,1699.8,44.74594953736036,732.6,44.111223061710724,40.0,0.0,0.43397239025150514,0.007778111088482787,317.8,17.31184565550421,414.8,27.923108709454254,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,1.0,0.0,599.3786385059357,598.0380318164825,10.0,2750.0,244.0,1290.0,1691.0,732.0,40.0,0.43144654088050316,311.0,421.0,1.0,3.0,2.0,100.0,1.0,NUM3,1.0,2.799308,0.0003446418430777253,2.799387,0.00018600000000024153
phi3,O3,5,0.0,160.00822224617005,1.4603361425445343,159.86096773147582,1.4530271090224682,10.0,0.0,2750.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,37.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,159.7112967967987,159.5655755996704,10.0,2750.0,0.0,2.0,2.0,0.0,37.0,,0.0,0.0,,,,,,,,,,,
phi4,B,5,1.0,491.5316566467285,33.98251047986677,490.61163597106935,33.978280899834466,10.0,0.0,2750.0,0.0,20.2,5.540758070878027,2203.2,20.70507184242547,2444.8,18.047160441465575,60.6,16.622274212634082,17.0,0.0,0.3333333333333333,0.0,20.2,5.540758070878027,40.4,11.081516141756055,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,1.0,0.0,478.6781978607178,477.8077313899994,10.0,2750.0,20.0,2203.0,2442.0,60.0,17.0,0.3333333333333333,20.0,40.0,1.0,3.0,2.0,100.0,1.0,NUM2,1.0,4.9584604,0.6742366320542069,5.108365,0.8572069999999998
phi4,G,5,1.0,478.8064997673035,49.32332768894027,477.8575885772705,49.32321131130679,10.0,0.0,2750.0,0.0,90.6,10.039920318408907,2045.2,23.77393530739074,2352.6,15.582040944625964,271.8,30.11976095522672,17.0,0.0,0.3333333333333333,0.0,90.6,10.039920318408907,181.2,20.079840636817814,1.0,0.0,3.0,0.0,2.0,0.0,100.0,0.0,1.0,0.0,464.1503448486328,463.1452851295471,10.0,2750.0,84.0,2053.0,2358.0,252.0,17.0,0.3333333333333333,84.0,168.0,1.0,3.0,2.0,100.0,1.0,NUM1,1.0,16.0,0.0,16.0,0.0
phi4,G2,5,1.0,510.22862405776976,45.45705942522113,509.2586757183075,45.4636075365527,10.0,0.0,2750.0,0.0,155.6,9.838699100999074,2121.4,12.116104984688768,2503.4,19.781304304822775,466.8,29.516097302997224,17.0,0.0,0.3333333333333333,0.0,155.6,9.838699100999074,311.2,19.677398201998148,1.0,0.0,5.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,492.5685455799103,491.58497381210327,10.0,2750.0,159.0,2120.0,2509.0,477.0,17.0,0.3333333333333333,159.0,318.0,1.0,5.0,3.0,100.0,1.0,NUM2,0.6,6.779599666666666,0.01729312945459349,6.781284,
phi4,G3,5,1.0,546.5472230911255,59.94022279653297,545.5584332942963,59.93358290623692,10.0,0.0,2750.0,0.0,175.2,12.988456413292536,2096.0,12.98075498574717,2494.0,15.132745950421556,525.6,38.9653692398776,17.0,0.0,0.3618786380920776,0.006911422047856643,190.2,14.567086187704115,335.4,25.095816384409574,3.6,1.3416407864998738,12.2,1.7888543819998317,6.6,0.8944271909999159,99.64438,0.43250066127117287,0.99232,0.009304138863968008,572.7065081596375,571.7153816223145,10.0,2750.0,170.0,2096.0,2499.0,510.0,17.0,0.36363636363636365,184.0,326.0,3.0,13.0,7.0,99.8039,0.9958,NUM1,0.8,15.25,0.9574271077563381,15.5,1.0
phi4,O,5,0.0,507.06445636749265,17.869509381723343,506.98757581710817,17.874539618213916,10.0,0.0,2750.0,0.0,0.0,0.0,2275.8,4.54972526643093,2502.4,4.979959839195493,0.0,0.0,15.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,498.0379981994629,497.94972801208496,10.0,2750.0,0.0,2274.0,2503.0,0.0,15.0,,0.0,0.0,,,,,,,,,,,
AT53_AT119,B,5,1.0,4360.199451589584,107.74568792226363,4358.847569036484,107.7382391537079,10.0,0.0,2750.0,0.0,339.8,10.47377677822093,672.6,14.536161804272819,1043.0,26.962937525425527,1019.4,31.421330334662787,32.0,0.0,0.38419145289570056,0.008281346316070805,391.8,19.227584351654787,627.6,14.27585373979434,1.0,0.0,3.0,0.0,2.0,0.0,99.90182,0.003017780641466799,0.99792,8.366600265339834e-05,4363.7253839969635,4362.394676923752,10.0,2750.0,342.0,681.0,1032.0,1026.0,32.0,0.3810916179337232,391.0,629.0,1.0,3.0,2.0,99.9025,0.9979,,,,,,
AT53_AT119,G,5,1.0,4427.024738121033,250.5625241824024,4425.6969594478605,250.56717589481195,10.0,0.0,2750.0,0.0,322.4,30.44339008717656,683.8,31.435648553831367,1026.4,47.00319138101157,967.2,91.33017026152969,32.0,0.0,0.38889388572453515,0.012835172942652589,377.0,46.75467891024384,590.2,44.98555323656696,1.0,0.0,3.0,0.0,2.0,0.0,99.89586,0.010012142627833214,0.9978200000000002,0.00023874672772624016,4476.0123546123505,4474.708796739578,10.0,2750.0,325.0,687.0,1026.0,975.0,32.0,0.38871794871794874,379.0,596.0,1.0,3.0,2.0,99.8974,0.9978,,,,,,
AT53_AT119,G2,5,1.0,5613.342566490173,176.8851767594096,5611.922587299347,176.8815821518993,10.0,0.0,2750.0,0.0,579.8,17.020575783445164,1192.8,15.674820573135758,1924.0,14.882876066137216,1739.4,51.061727350335495,32.0,0.0,0.4009635879802622,0.006254711906501689,697.4,21.824298385056963,1042.0,33.637776383108324,1.0,0.0,3.0,0.0,2.0,0.0,99.91944000000001,0.031591818561138726,0.99834,0.0006767569726275314,5576.209528207779,5574.776451349258,10.0,2750.0,579.0,1194.0,1919.0,1737.0,32.0,0.4013605442176871,695.0,1042.0,1.0,3.0,2.0,99.9403,0.9988,,,,,,
AT53_AT119,G3,5,1.0,6225.033785963058,151.90360773320458,6223.548844337463,151.895590938952,10.0,0.0,2750.0,0.0,711.6,23.922792479140053,1364.6,9.939818911831342,2258.0,21.20141504711419,2134.8,71.76837743742017,32.0,0.0,0.3914733766743909,0.005988357611089031,835.8,33.5067157447578,1299.0,42.49117555446072,1.0,0.0,6.0,0.0,4.0,0.0,100.0,0.0,1.0,0.0,6217.656842947006,6216.160197973251,10.0,2750.0,714.0,1363.0,2258.0,2142.0,32.0,0.3907888736890105,839.0,1320.0,1.0,6.0,4.0,100.0,1.0,,,,,,
AT53_AT119,O1,5,0.0,4638.0628033161165,219.345032738383,4636.870013523102,219.33373807578718,10.0,0.0,2750.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,6.0,0.0,32.0,0.0,0.4333333333333333,0.09128709291752769,2.6,0.5477225575051661,3.4,0.5477225575051661,0.0,0.0,1.0,0.0,1.0,0.0,56.66668,9.128727549171355,0.0,0.0,4601.622858762741,4600.455646753311,10.0,2750.0,2.0,4.0,4.0,6.0,32.0,0.5,3.0,3.0,0.0,1.0,1.0,50.0,0.0,,,,,,
AT53_AT119,O2,5,0.0,2130.227915239334,15.274737750529917,2129.9579989910126,15.286754718958809,10.0,0.0,2750.0,0.0,0.0,0.0,1000.6,22.963013739489856,1097.2,27.398905087612533,0.0,0.0,29.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,2125.886511325836,2125.6208107471466,10.0,2750.0,0.0,987.0,1080.0,0.0,29.0,,0.0,0.0,,,,,,,,,,,
RR,B,5,1.0,4644.917170143128,182.12088821780657,4643.79197897911,182.09379429017503,10.0,0.0,2750.0,0.0,360.2,41.43307857256084,1628.4,38.455168703309575,2190.6,28.00535663047339,1080.6,124.2992357176825,18.0,0.0,0.3384891205609507,0.0036862833776205766,366.0,44.5926002830066,714.6,79.87990986474634,1.0,0.0,5.2,1.0954451150103321,3.6,0.5477225575051661,100.0,0.0,1.0,0.0,4571.965526342392,4570.884008169174,10.0,2750.0,365.0,1609.0,2194.0,1095.0,18.0,0.33676975945017185,376.0,719.0,1.0,6.0,4.0,100.0,1.0,,,,,,
RR,G,5,1.0,2875.3524792671205,106.54305980186837,2874.317014837265,106.53139580185581,10.0,0.0,2750.0,0.0,134.0,20.074859899884732,1778.4,26.311594402468277,2104.2,24.42744358298674,402.0,60.22457969965419,18.0,0.0,0.3337423312883435,0.0009145472300612667,134.2,20.437710243566915,267.8,39.78944583680451,1.0,0.0,4.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,2862.5384595394135,2861.480226993561,10.0,2750.0,123.0,1773.0,2111.0,369.0,18.0,0.3333333333333333,123.0,246.0,1.0,4.0,3.0,100.0,1.0,,,,,,
RR,G2,5,1.0,2085.4081349372864,31.254125950966465,2084.3639628410338,31.26274296987031,10.0,0.0,2750.0,0.0,99.0,5.522680508593631,2175.2,12.070625501605125,2500.4,13.408952233489387,297.0,16.56804152578089,18.0,0.0,0.3333333333333333,0.0,99.0,5.522680508593631,198.0,11.045361017187261,1.0,0.0,6.0,0.0,4.0,0.0,100.0,0.0,1.0,0.0,2081.012322664261,2080.009131193161,10.0,2750.0,102.0,2176.0,2497.0,306.0,18.0,0.3333333333333333,102.0,204.0,1.0,6.0,4.0,100.0,1.0,,,,,,
RR,G3,5,0.0,1696.7442446231842,4.272424425634903,1696.5671256542205,4.273583689370494,10.0,0.0,2750.0,0.0,0.0,0.0,2262.0,12.549900398011133,2485.8,14.307340773183533,0.0,0.0,17.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,1697.6307694911957,1697.4591581821442,10.0,2750.0,0.0,2257.0,2485.0,0.0,17.0,,0.0,0.0,,,,,,,,,,,
RR,O,5,1.0,7273.517928218842,107.40595607453302,7272.305526447296,107.40998193116211,10.0,0.0,2750.0,0.0,719.6,29.543188724306656,801.0,29.427877939124322,1679.0,37.72929895982696,2158.8,88.62956617291997,18.0,0.0,0.33379717178711665,1.882764008523798e-05,720.6,29.543188724306656,1438.2,59.08637744861331,1.0,0.0,4.0,0.0,3.0,0.0,100.0,0.0,1.0,0.0,7291.182601451874,7289.992838859558,10.0,2750.0,711.0,789.0,1680.0,2133.0,18.0,0.3338021565869667,712.0,1421.0,1.0,4.0,3.0,100.0,1.0,,,,,,
